F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,OUTCOME
19803.66411,19913.16508,20290.30394,20965.58196,22023.64768,23566.1165,25896.17085,29445.9349,35579.49301,50155.72694,6963447.539,19803.66411,19913.16508,20290.30394,20965.58196,22023.64768,23566.1165,25896.17085,29445.9349,35579.49301,50161.98591,6965180.737,0
14861.6288,14960.74889,15249.64865,15759.66105,16545.9619,17711.6853,19443.93428,22169.98081,20519.77502,28612.62636,4082554.033,19715.47696,19837.94661,20216.1169,20885.84546,21918.13058,23443.64316,25711.41873,29256.00171,35499.42426,49978.02099,6955454.438,1
18311.11279,18424.8987,18776.42939,19398.92829,20358.61522,21776.4788,23885.39522,27178.9845,32945.66851,46384.92927,6706594.678,18316.89822,18430.72298,18782.37546,19405.09279,20365.12509,21783.50424,23893.21325,27188.0529,32957.21394,46401.12727,6708967.214,0
17161.17203,17267.75148,17596.99048,18179.98971,19080.20674,20407.98944,22382.28949,25465.44265,30986.48091,43704.70268,6491746.475,17164.20673,17270.80497,17600.10315,18183.20091,19083.56745,20411.57892,22386.22569,25469.92597,30992.5491,43713.75983,6493692.924,0
17484.77716,17593.40473,17929.40959,18523.6736,19439.75221,20794.98889,22808.06784,25952.5411,31493.79435,44461.18089,6550134.807,17489.21783,17597.87484,17934.43089,18528.44559,19444.78404,20800.29437,22814.17612,25959.33051,31504.09975,44475.93132,6552412.167,0
19690.54307,19812.94071,20190.85762,20859.85408,21891.15889,23427.4059,25695.97387,29238.6024,35478.85913,50007.16895,6955847.745,19697.84207,19820.27422,20198.32768,20867.54991,21899.22891,23435.76672,25704.58604,29248.37061,35491.45251,50025.65465,6958348.466,0
19043.72913,19152.50572,19504.76543,20140.20549,21106.54889,22557.3317,24630.00755,28072.85566,34090.58367,48087.92165,6794494.627,19058.53373,19166.24359,19518.97691,20154.35872,21119.27684,22569.86958,24638.51696,28084.83557,34101.58824,48103.44332,6796873.14,0
17184.38773,17291.624,17618.87147,18199.62553,19096.42304,20424.46285,22402.59713,25492.4155,31000.52053,43736.17213,6495438.483,17188.55634,17295.69966,17622.9778,18203.78143,19100.80712,20428.12703,22406.55919,25496.85113,31006.64795,43745.32308,6497394.887,0
2541.888414,2551.122748,2578.644599,2622.098928,2709.336106,2871.029005,2825.911033,3587.064736,4907.312068,6734.485689,3756779.052,2516.561282,2525.848617,2553.873181,2597.326042,2688.005731,2845.428542,2806.004789,3528.484984,4810.166715,6659.650351,3757662.233,0
14546.88875,14641.03632,14922.4931,15419.64723,16186.10332,17323.48255,19009.05401,21659.55496,20209.74687,28434.65476,4266655.511,19716.62266,19839.09355,20217.26045,20891.43342,21925.0512,23452.2509,25723.46053,29270.16888,35497.00852,49974.56187,6954381.368,1
19700,19800,20175.79012,20844.3802,21874.93424,23416.89785,25685.23979,29228.17791,35453.43076,49913.48136,6953374.125,19675.90794,19798.24367,20175.79012,20844.3802,21874.93424,23416.89785,25685.23979,29228.17791,35453.43076,49931.07589,6955874.888,0
19654.58072,19775.26893,20151.97256,20819.9866,21862.95976,23398.55711,25664.47111,29203.2375,35410.05523,49852.16819,6949457.042,19661.91337,19782.51942,20159.35057,20827.67239,21870.10886,23406.83652,25673.48494,29213.41982,35422.69171,49869.98829,6951955.539,0
1677.051631,1690.291173,1724.564761,1783.300248,1873.416303,2006.780894,2204.503803,2510.200519,2991.236727,4218.112712,3714426.297,1638.10846,1651.234271,1684.625238,1741.897014,1829.528229,1959.417066,2152.59772,2451.600825,2927.18026,4123.298914,3709083.897,0
11604.22709,11618.70353,11754.91896,11983.89632,12392.14325,13234.9274,14925.34917,16997.8239,21854.69675,31309.94782,4886861.673,11602.12136,11613.96792,11750.92266,11979.51029,12384.48807,13244.54365,14937.68003,16997.53617,21861.01196,31319.73843,4888544.127,0
19700.6033,19822.95333,20201.04614,20870.547,21902.3523,23427.64153,25699.86534,29244.32825,35485.1905,49957.86999,6960313.358,15726.23692,15823.78301,16124.72138,16658.2052,17478.43279,18691.51885,20492.99405,23045.53616,26913.07982,37826.34488,6078578.328,1
16258.02613,16358.7441,16672.80558,17221.91987,18069.5489,19323.20074,21184.1656,24087.73312,29382.22899,41373.74316,6322999.098,16348.89255,16450.18883,16763.79947,17317.01891,18169.73202,19431.16295,21302.10437,24220.91537,29538.23141,41603.4691,6341312.232,0
19701.62613,19823.96806,20202.06564,20871.56864,21903.36548,23440.26688,25710.39462,29255.74069,35485.67098,49958.96204,6959222.435,14984.06169,15076.9552,15363.86721,15872.28195,16655.24135,17812.47743,19530.64812,21884.50433,25558.75334,35918.33442,5945200.739,1
16301.21173,16402.17196,16716.09968,17266.77924,18117.12117,19374.19673,21239.52877,24149.3081,29456.81731,41482.55478,6330607.046,16344.10518,16445.36766,16759.27559,17311.92821,18164.37641,19424.83097,21295.24277,24212.4754,29532.25283,41593.07859,6340037.873,0
